POLYID,DRAWORD,POINT_X,POINT_Y
16, 1591, 474553.262012, 4976085.77463
16, 1592, 474547.134092, 4976084.75458
16, 1593, 474545.091452, 4976076.58232
16, 1594, 474544.069281, 4975896.82064
16, 1595, 474472.57986, 4975895.79804
16, 1596, 474472.57986, 4975823.28007
16, 1597, 474494.025452, 4975822.26002
16, 1598, 474493.005409, 4975697.65132
16, 1599, 474493.005409, 4975682.3311
16, 1600, 474441.939409, 4975671.09615
16, 1601, 474339.810388, 4975674.15883
16, 1602, 474240.744476, 4975676.20147
16, 1603, 474199.892101, 4975676.20147
16, 1604, 474139.635923, 4975677.22365
16, 1605, 474062.017561, 4975680.28675
16, 1606, 474036.484561, 4975684.37374
16, 1607, 474039.548393, 4975891.71319
16, 1608, 474041.591969, 4976153.18515
16, 1609, 474043.634524, 4976370.7395
16, 1610, 474042.613247, 4976376.867
16, 1611, 474041.591969, 4976387.0819
16, 1612, 474037.505838, 4976397.29467
16, 1613, 474031.378174, 4976438.15003
16, 1614, 474030.356896, 4976495.34778
16, 1615, 474036.484561, 4976736.39249
16, 1616, 474037.505838, 4976895.72862
16, 1617, 474135.550643, 4976894.70602
16, 1618, 474152.912232, 4976898.7913
16, 1619, 474354.108442, 4976896.74866
16, 1620, 474469.515049, 4976893.68598
16, 1621, 474488.920129, 4976891.64334
16, 1622, 474510.366147, 4976887.55636
16, 1623, 474537.941787, 4976886.53589
16, 1624, 474537.941787, 4976839.55304
16, 1625, 474583.900336, 4976838.53045
16, 1626, 474581.857696, 4976826.27333
16, 1627, 474579.815056, 4976812.99574
16, 1628, 474577.772416, 4976804.82518
16, 1629, 474573.687561, 4976792.56807
16, 1630, 474595.135281, 4976791.5476
16, 1631, 474688.072848, 4976789.50496
16, 1632, 474768.754575, 4976788.48279
17, 1634, 474727.903477, 4976482.07019
17, 1635, 474726.881306, 4976399.33731
17, 1636, 474729.946117, 4976359.50413
17, 1637, 474736.073611, 4976329.88415
17, 1638, 474744.244171, 4976306.39166
17, 1639, 474775.904666, 4976237.96067
17, 1640, 474784.0748, 4976203.23323
17, 1641, 474785.095269, 4976179.74075
17, 1642, 474785.095269, 4976163.40005
17, 1643, 474783.052629, 4976146.03548
17, 1644, 474772.839855, 4976117.43725
17, 1645, 474754.456946, 4976082.70981
17, 1646, 474644.156514, 4976084.75458
17, 1647, 474627.816245, 4976095.98953
17, 1648, 474617.60347, 4976112.3298
17, 1649, 474609.433336, 4976151.14251
17, 1650, 474605.348056, 4976205.27587
17, 1651, 474612.496019, 4976253.28089
17, 1652, 474614.538659, 4976262.47362
17, 1653, 474619.64611, 4976277.79385
17, 1654, 474629.858885, 4976306.39166
17, 1655, 474564.49483, 4976306.39166
17, 1656, 474565.517001, 4976380.9544
17, 1657, 474552.239416, 4976380.9544
17, 1658, 474552.239416, 4976400.35948
17, 1659, 474565.517001, 4976399.33731
17, 1660, 474566.53747, 4976503.51791
17, 1661, 474620.666154, 4976503.51791
17, 1662, 474626.794074, 4976491.26292
17, 1663, 474658.454568, 4976491.26292
17, 1664, 474661.519379, 4976482.07019
17, 1665, 474727.903477, 4976482.07019
18, 1667, 476802.158437, 4975183.89757
18, 1668, 475724.690094, 4975184.91974
18, 1669, 475716.517832, 4975211.47492
18, 1670, 475706.305057, 4975235.98787
18, 1671, 475689.964363, 4975274.80059
18, 1672, 475688.944319, 4975292.16345
18, 1673, 475688.944319, 4975322.80603
18, 1674, 475684.859039, 4975338.12626
18, 1675, 475679.751588, 4975345.27592
18, 1676, 475671.581454, 4975353.44648
18, 1677, 475651.155905, 4975363.66138
18, 1678, 475627.665545, 4975371.83152
18, 1679, 475646.048454, 4975499.50248
18, 1680, 475677.708948, 4975612.8758
18, 1681, 475757.371057, 4975721.14168
18, 1682, 475845.202875, 4975786.50999
18, 1683, 475914.650082, 4975855.96528
18, 1684, 475973.886216, 4975926.44062
18, 1685, 476015.759485, 4976021.42891
18, 1686, 476017.802125, 4976065.34695
18, 1687, 476013.716845, 4976075.56185
18, 1688, 476100.526917, 4976075.56185
18, 1689, 476357.893174, 4976074.53968
18, 1690, 476757.220357, 4976068.41176
18, 1691, 476802.158437, 4976069.43223
18, 1692, 476802.158437, 4975183.89757
19, 1694, 475943.245765, 4975659.86121
19, 1695, 475891.161424, 4975623.09071
19, 1696, 475856.436118, 4975600.62082
19, 1697, 475833.967929, 4975589.38544
19, 1698, 475807.414461, 4975593.47072
19, 1699, 475775.753966, 4975590.40591
19, 1700, 475745.115643, 4975571.00041
19, 1701, 475724.690094, 4975549.55056
19, 1702, 475703.241948, 4975510.73785
19, 1703, 475698.134923, 4975478.05476
19, 1704, 475707.327228, 4975457.62708
19, 1705, 475717.540003, 4975443.32732
19, 1706, 475743.073003, 4975420.85701
19, 1707, 475764.519021, 4975425.96446
19, 1708, 475778.818777, 4975425.96446
19, 1709, 475803.329606, 4975430.04931
19, 1710, 475830.903118, 4975452.51963
19, 1711, 475860.520973, 4975455.58444
19, 1712, 475876.861667, 4975453.5418
19, 1713, 475932.012522, 4975457.62708
19, 1714, 475960.608631, 4975470.90466
19, 1715, 475969.800936, 4975482.14004
19, 1716, 475975.928856, 4975496.43979
19, 1717, 475973.886216, 4975529.12288
19, 1718, 475973.886216, 4975575.08569
19, 1719, 475974.906259, 4975613.8984
