LINEID,DRAWORD,POINT_X,POINT_Y
34, 2150, 474888.247312, 4978387.96183
34, 2151, 474917.863465, 4978409.41082
34, 2152, 474962.80197, 4978472.73607
34, 2153, 474970.972105, 4978515.63406
34, 2154, 474960.75933, 4978559.55295
34, 2155, 474949.523959, 4978576.91709
34, 2156, 474931.14105, 4978591.216
34, 2157, 474920.928276, 4978613.68716
34, 2158, 474911.73597, 4978627.98607
35, 2160, 474555.304227, 4978627.98607
35, 2161, 474558.367336, 4978625.94258
35, 2162, 474568.58011, 4978621.8573
35, 2163, 474578.792885, 4978617.77202
35, 2164, 474578.792885, 4978612.66499
35, 2165, 474570.622325, 4978603.47226
35, 2166, 474565.517001, 4978595.30213
35, 2167, 474538.963958, 4978574.87445
35, 2168, 474525.686372, 4978571.80964
35, 2169, 474513.430958, 4978574.87445
35, 2170, 474480.749995, 4978585.08808
35, 2171, 474448.066903, 4978594.27953
35, 2172, 474432.748806, 4978602.45222
35, 2173, 474412.322406, 4978604.49443
35, 2174, 474377.597951, 4978604.49443
35, 2175, 474356.151082, 4978606.53707
35, 2176, 474341.853028, 4978610.62235
35, 2177, 474308.149893, 4978612.66499
35, 2178, 474273.42629, 4978603.47226
35, 2179, 474249.93593, 4978583.04458
35, 2180, 474238.701836, 4978563.63908
35, 2181, 474229.510381, 4978541.16919
35, 2182, 474225.425101, 4978511.54878
35, 2183, 474233.595661, 4978475.80088
35, 2184, 474241.765796, 4978448.22354
35, 2185, 474262.191345, 4978425.75322
35, 2186, 474307.128573, 4978406.34686
35, 2187, 474358.193297, 4978378.76909
35, 2188, 474405.173166, 4978387.96183
35, 2189, 474447.04686, 4978402.26073
35, 2190, 474466.450238, 4978401.24026
35, 2191, 474479.727823, 4978399.19677
35, 2192, 474485.855318, 4978393.06928
35, 2193, 474486.877489, 4978386.94051
35, 2194, 474483.812678, 4978378.76909
35, 2195, 474471.557689, 4978373.66292
35, 2196, 474457.259635, 4978366.51283
35, 2197, 474429.683995, 4978351.1926
35, 2198, 474379.640166, 4978323.61484
35, 2199, 474359.214617, 4978304.20848
35, 2200, 474350.023162, 4978290.93089
35, 2201, 474350.023162, 4978273.56718
35, 2202, 474355.129762, 4978248.0329
35, 2203, 474361.257257, 4978219.43424
35, 2204, 474359.214617, 4978177.55756
35, 2205, 474352.065802, 4978157.13116
35, 2206, 474344.916988, 4978147.93843
35, 2207, 474338.789068, 4978143.8523
35, 2208, 474328.576293, 4978144.87362
35, 2209, 474317.341348, 4978152.02371
35, 2210, 474292.830519, 4978162.23734
35, 2211, 474275.46893, 4978163.25866
35, 2212, 474259.127385, 4978156.10857
35, 2213, 474243.808436, 4978140.78834
35, 2214, 474227.467741, 4978119.33935
35, 2215, 474218.276287, 4978094.82554
35, 2216, 474219.297607, 4978072.35565
35, 2217, 474224.403781, 4978060.09896
35, 2218, 474235.637876, 4978042.73652
35, 2219, 474252.99989, 4978020.26492
35, 2220, 474272.40497, 4978008.00993
35, 2221, 474310.192533, 4977992.68843
35, 2222, 474350.023162, 4977968.17462
35, 2223, 474368.406071, 4977944.68426
35, 2224, 474390.875537, 4977914.04169
35, 2225, 474413.343726, 4977898.72146
35, 2226, 474439.896769, 4977882.37906
35, 2227, 474461.344489, 4977875.23025
35, 2228, 474499.132903, 4977865.0162
35, 2229, 474550.196776, 4977855.82389
35, 2230, 474597.177921, 4977848.6738
35, 2231, 474640.071659, 4977847.65248
35, 2232, 474683.987568, 4977851.73861
35, 2233, 474727.903477, 4977872.16629
35, 2234, 474742.201531, 4977886.46519
35, 2235, 474756.49916, 4977907.91419
35, 2236, 474758.5418, 4977930.38451
35, 2237, 474752.414306, 4977951.83308
35, 2238, 474739.13672, 4977972.26076
35, 2239, 474724.838666, 4977989.6249
35, 2240, 474714.625891, 4978005.96602
35, 2241, 474713.605848, 4978022.30884
35, 2242, 474716.668531, 4978038.65039
35, 2243, 474740.158891, 4978076.44178
35, 2244, 474750.371666, 4978094.82554
35, 2245, 474758.5418, 4978121.38199
35, 2246, 474758.5418, 4978139.76702
35, 2247, 474753.436477, 4978165.3013
35, 2248, 474761.606611, 4978208.19887
35, 2249, 474773.862026, 4978252.11903
35, 2250, 474782.03216, 4978256.20431
35, 2251, 474796.330215, 4978259.26827
35, 2252, 474809.6078, 4978257.22563
36, 2254, 474803.478178, 4978248.0329
36, 2255, 474795.308044, 4978219.43424
36, 2256, 474785.095269, 4978175.51492
36, 2257, 474764.66972, 4978070.31301
36, 2258, 474762.62708, 4978001.88116
36, 2259, 474784.0748, 4977940.59813
36, 2260, 474783.052629, 4977890.55047
36, 2261, 474766.71236, 4977855.82389
36, 2262, 474737.09408, 4977834.3749
36, 2263, 474677.860074, 4977812.9259
36, 2264, 474623.730965, 4977822.1182
36, 2265, 474577.772416, 4977830.28876
36, 2266, 474493.005409, 4977845.60984
36, 2267, 474455.216995, 4977852.75993
36, 2268, 474428.663951, 4977859.90875
36, 2269, 474420.493391, 4977862.97356
36, 2270, 474411.301086, 4977868.08016
36, 2271, 474400.066991, 4977874.20893
36, 2272, 474376.576631, 4977894.63661
36, 2273, 474367.385177, 4977905.87155
36, 2274, 474353.087122, 4977922.2131
36, 2275, 474336.746853, 4977942.64077
36, 2276, 474321.426628, 4977954.89704
36, 2277, 474309.171213, 4977963.06845
36, 2278, 474296.915799, 4977972.26076
36, 2279, 474272.40497, 4977982.47481
36, 2280, 474251.97857, 4977993.70975
36, 2281, 474233.595661, 4978008.00993
36, 2282, 474211.127472, 4978033.54379
36, 2283, 474199.892101, 4978050.9075
36, 2284, 474195.807247, 4978061.12028
36, 2285, 474187.636687, 4978082.57055
36, 2286, 474184.573152, 4978097.89078
36, 2287, 474183.551832, 4978115.25322
36, 2288, 474185.594472, 4978144.87362
36, 2289, 474190.700647, 4978170.40875
36, 2290, 474198.870781, 4978189.81383
36, 2291, 474212.148792, 4978232.71182
36, 2292, 474216.233647, 4978266.41836
36, 2293, 474224.403781, 4978321.5722
36, 2294, 474225.425101, 4978363.44887
36, 2295, 474225.425101, 4978394.0906
36, 2296, 474218.276287, 4978440.05212
36, 2297, 474206.020021, 4978487.03625
36, 2298, 474201.934741, 4978518.69887
36, 2299, 474203.977381, 4978543.21183
36, 2300, 474212.148792, 4978568.74568
36, 2301, 474221.340247, 4978583.04458
36, 2302, 474228.489061, 4978591.216
36, 2303, 474234.616556, 4978597.34477
36, 2304, 474244.82933, 4978606.53707
36, 2305, 474263.212665, 4978615.7298
36, 2306, 474280.575105, 4978624.92211
36, 2307, 474289.766985, 4978627.98607
37, 2309, 475386.639557, 4977954.89704
37, 2310, 475396.852332, 4977953.87572
37, 2311, 475404.002423, 4977950.81176
37, 2312, 475406.045063, 4977947.74822
37, 2313, 475408.087277, 4977942.64077
37, 2314, 475416.257837, 4977908.93551
37, 2315, 475429.533295, 4977872.16629
37, 2316, 475435.660789, 4977827.2248
37, 2317, 475431.575935, 4977799.64831
37, 2318, 475425.448015, 4977776.15583
37, 2319, 475420.342692, 4977757.77164
37, 2320, 475423.4058, 4977734.28
37, 2321, 475436.683386, 4977715.89497
37, 2322, 475453.023655, 4977702.61738
37, 2323, 475476.514015, 4977694.44512
37, 2324, 475508.174935, 4977690.35984
37, 2325, 475565.366302, 4977682.1897
37, 2326, 475587.83449, 4977678.10442
37, 2327, 475608.262167, 4977667.88995
37, 2328, 475629.708185, 4977650.52708
37, 2329, 475638.90049, 4977645.41963
37, 2330, 475650.133734, 4977644.39746
37, 2331, 475697.114454, 4977646.4418
37, 2332, 475743.073003, 4977640.31218
37, 2333, 475785.966741, 4977618.86446
37, 2334, 475826.817838, 4977597.41419
37, 2335, 475847.245515, 4977588.22188
37, 2336, 475848.265558, 4977586.17924
37, 2337, 475849.288155, 4977584.1366
37, 2338, 475848.265558, 4977573.92383
37, 2339, 475847.245515, 4977564.7311
37, 2340, 475860.520973, 4977562.68888
37, 2341, 475862.563613, 4977573.92383
37, 2342, 475866.648893, 4977580.05132
37, 2343, 475869.713704, 4977582.09396
37, 2344, 475881.969118, 4977588.22188
37, 2345, 475923.842387, 4977604.56428
37, 2346, 475972.863619, 4977632.14205
37, 2347, 476012.694674, 4977676.06008
37, 2348, 476038.227674, 4977705.68219
37, 2349, 476071.930808, 4977730.19387
37, 2350, 476102.569132, 4977770.02791
37, 2351, 476110.739692, 4977787.39077
37, 2352, 476112.781906, 4977808.84062
37, 2353, 476110.739692, 4977845.60984
37, 2354, 476112.781906, 4977869.10148
37, 2355, 476119.931997, 4977885.44387
37, 2356, 476135.250095, 4977899.74278
37, 2357, 476152.612961, 4977906.89287
37, 2358, 476169.973698, 4977923.23442
37, 2359, 476183.251284, 4977945.70431
37, 2360, 476196.52887, 4977980.43217
37, 2361, 476199.591978, 4978000.85984
37, 2362, 476198.57151, 4978015.15875
37, 2363, 476196.52887, 4978019.24488
37, 2364, 476190.401375, 4978020.26492
37, 2365, 476185.293924, 4978029.45765
37, 2366, 476189.379204, 4978035.58643
37, 2367, 476185.293924, 4978044.77873
37, 2368, 476178.145961, 4978053.97146
37, 2369, 476167.931058, 4978061.12028
37, 2370, 476151.59079, 4978069.29169
37, 2371, 476131.165241, 4978076.44178
37, 2372, 476102.569132, 4978086.6554
37, 2373, 476080.101368, 4978100.95431
37, 2374, 476050.483088, 4978126.48859
37, 2375, 476026.992728, 4978156.10857
37, 2376, 476024.950088, 4978200.02873
37, 2377, 476029.035368, 4978238.84059
37, 2378, 476037.205503, 4978290.93089
37, 2379, 476051.503132, 4978332.80757
37, 2380, 476071.930808, 4978374.68424
37, 2381, 476092.356357, 4978414.51827
37, 2382, 476107.674455, 4978451.28707
37, 2383, 476117.88723, 4978477.84352
37, 2384, 476136.272692, 4978501.33515
37, 2385, 476158.740455, 4978535.04042
37, 2386, 476175.08115, 4978572.83181
37, 2387, 476182.231241, 4978624.92211
37, 2388, 476181.208644, 4978627.98607
38, 2390, 476039.248143, 4978627.98607
38, 2391, 476043.332997, 4978607.55839
38, 2392, 476045.375637, 4978561.59686
38, 2393, 476037.205503, 4978517.6767
38, 2394, 476026.992728, 4978465.58598
38, 2395, 476011.674631, 4978425.75322
38, 2396, 476000.439259, 4978382.85523
38, 2397, 475988.183845, 4978339.95766
38, 2398, 475976.948899, 4978304.20848
38, 2399, 475958.565991, 4978257.22563
38, 2400, 475935.075631, 4978221.47688
38, 2401, 475908.522162, 4978194.92128
38, 2402, 475881.969118, 4978172.45139
38, 2403, 475855.415649, 4978164.27998
38, 2404, 475831.925289, 4978164.27998
38, 2405, 475807.414461, 4978175.51492
38, 2406, 475794.136875, 4978190.83643
38, 2407, 475776.776137, 4978234.75531
38, 2408, 475762.476381, 4978253.1395
38, 2409, 475742.050832, 4978264.37445
38, 2410, 475722.645326, 4978274.58935
38, 2411, 475709.369868, 4978274.58935
38, 2412, 475693.029174, 4978271.52454
38, 2413, 475678.731545, 4978262.33181
38, 2414, 475667.496174, 4978261.31091
38, 2415, 475659.326039, 4978269.4819
38, 2416, 475658.303868, 4978279.69595
38, 2417, 475660.346508, 4978299.1023
38, 2418, 475666.47613, 4978321.5722
38, 2419, 475672.603625, 4978343.02119
38, 2420, 475685.879508, 4978352.21392
38, 2421, 475694.049643, 4978362.42755
38, 2422, 475697.114454, 4978377.74777
38, 2423, 475698.134923, 4978391.02536
38, 2424, 475689.964363, 4978405.32554
38, 2425, 475663.411319, 4978429.8385
38, 2426, 475652.175948, 4978441.07344
38, 2427, 475636.85785, 4978447.20222
38, 2428, 475614.390087, 4978450.26575
38, 2429, 475600.089905, 4978451.28707
38, 2430, 475593.96241, 4978447.20222
38, 2431, 475581.706996, 4978433.92335
38, 2432, 475573.536862, 4978414.51827
38, 2433, 475573.536862, 4978400.21809
38, 2434, 475573.536862, 4978353.23524
38, 2435, 475569.451582, 4978311.35857
38, 2436, 475556.176124, 4978292.97353
38, 2437, 475537.791087, 4978281.73816
38, 2438, 475495.91952, 4978270.50322
38, 2439, 475464.259026, 4978269.4819
38, 2440, 475446.89616, 4978262.33181
38, 2441, 475432.598106, 4978253.1395
38, 2442, 475427.490655, 4978244.96937
38, 2443, 475422.385332, 4978231.69178
38, 2444, 475418.300052, 4978207.17797
38, 2445, 475422.385332, 4978166.32262
38, 2446, 475415.23524, 4978117.29713
38, 2447, 475410.129917, 4978077.4631
38, 2448, 475406.045063, 4978048.86401
38, 2449, 475407.065106, 4977985.53834
38, 2450, 475406.045063, 4977979.41085
38, 2451, 475402.980252, 4977974.3034
38, 2452, 475396.852332, 4977972.26076
38, 2453, 475390.724837, 4977969.19722
38, 2454, 475385.619514, 4977969.19722
38, 2455, 475386.639557, 4977954.89704
39, 2457, 475316.170179, 4977444.2081
39, 2458, 475310.042685, 4977466.67799
39, 2459, 475312.085325, 4977537.15375
39, 2460, 475315.148008, 4977565.75156
39, 2461, 475347.831099, 4977661.76203
39, 2462, 475361.106557, 4977661.76203
39, 2463, 475376.426783, 4977662.7825
39, 2464, 475408.087277, 4977674.01957
39, 2465, 475418.300052, 4977683.21017
39, 2466, 475404.002423, 4977709.76747
39, 2467, 475398.894972, 4977738.36528
39, 2468, 475400.937612, 4977773.09187
39, 2469, 475406.045063, 4977813.94722
39, 2470, 475402.980252, 4977840.50367
39, 2471, 475388.682197, 4977920.17046
39, 2472, 475386.639557, 4977941.61945
39, 2473, 475365.191837, 4977942.64077
39, 2474, 475342.723648, 4977943.66209
39, 2475, 475298.807739, 4977946.7269
39, 2476, 475246.72127, 4977942.64077
39, 2477, 475176.251893, 4977936.512
39, 2478, 475150.72102, 4977946.7269
39, 2479, 475124.165849, 4977963.06845
39, 2480, 475078.2073, 4977979.41085
39, 2481, 474993.440294, 4978004.9447
39, 2482, 474962.80197, 4978075.42046
39, 2483, 474941.353825, 4978112.18968
39, 2484, 474908.672861, 4978146.91626
39, 2485, 474881.097221, 4978179.60106
39, 2486, 474856.586818, 4978201.0492
39, 2487, 474803.478178, 4978248.0329
40, 2489, 475756.348461, 4977371.69013
40, 2490, 475734.902868, 4977384.96771
40, 2491, 475591.91977, 4977469.74323
40, 2492, 475563.324087, 4977484.04299
40, 2493, 475524.515204, 4977494.25576
40, 2494, 475501.024844, 4977496.2984
40, 2495, 475483.661978, 4977497.32057
40, 2496, 475457.108935, 4977495.27623
40, 2497, 475429.533295, 4977491.19095
40, 2498, 475413.193026, 4977486.08563
40, 2499, 475400.937612, 4977480.97817
40, 2500, 475369.276692, 4977468.72063
40, 2501, 475316.170179, 4977444.2081
41, 2503, 475764.519021, 4977366.58438
41, 2504, 475778.818777, 4977390.07516
41, 2505, 475782.904057, 4977396.20266
41, 2506, 475786.988912, 4977398.24742
41, 2507, 475792.094235, 4977398.24742
41, 2508, 475801.286966, 4977399.26747
41, 2509, 475821.712515, 4977399.26747
41, 2510, 475841.118021, 4977401.31011
41, 2511, 475853.373009, 4977404.37492
41, 2512, 475862.563613, 4977411.52501
41, 2513, 475868.691533, 4977421.73778
41, 2514, 475873.798558, 4977433.99533
41, 2515, 475871.756344, 4977447.27291
41, 2516, 475866.648893, 4977453.40041
41, 2517, 475859.500929, 4977459.52833
41, 2518, 475852.350838, 4977464.63578
41, 2519, 475850.308198, 4977470.76327
41, 2520, 475850.308198, 4977476.89289
41, 2521, 475853.373009, 4977481.99822
41, 2522, 475855.415649, 4977489.14831
41, 2523, 475856.436118, 4977498.34104
41, 2524, 475859.500929, 4977559.62407
41, 2525, 475847.245515, 4977562.68888
41, 2526, 475837.032741, 4977477.91336
41, 2527, 475832.947461, 4977471.78544
41, 2528, 475822.732558, 4977467.70059
41, 2529, 475797.201686, 4977467.70059
41, 2530, 475769.626472, 4977470.76327
41, 2531, 475746.135686, 4977476.89289
41, 2532, 475725.710137, 4977481.99822
41, 2533, 475703.241948, 4977484.04299
41, 2534, 475683.836868, 4977478.93553
41, 2535, 475669.538814, 4977474.85068
41, 2536, 475666.47613, 4977471.78544
41, 2537, 475665.453959, 4977465.65795
41, 2538, 475672.603625, 4977460.5505
41, 2539, 475684.859039, 4977452.38036
41, 2540, 475709.369868, 4977445.23027
41, 2541, 475737.965552, 4977430.93052
41, 2542, 475757.371057, 4977422.75996
41, 2543, 475765.541192, 4977415.61029
41, 2544, 475768.603875, 4977410.50284
41, 2545, 475769.626472, 4977400.28794
41, 2546, 475767.583832, 4977392.11738
41, 2547, 475756.348461, 4977371.69013
42, 2549, 475764.519021, 4977366.58438
42, 2550, 475756.348461, 4977371.69013
43, 2552, 475903.416838, 4977273.63872
43, 2553, 475867.671064, 4977298.15168
43, 2554, 475828.860478, 4977325.72945
43, 2555, 475788.009381, 4977351.26245
43, 2556, 475764.519021, 4977366.58438
44, 2558, 474819.820575, 4978272.54586
44, 2559, 474877.012367, 4978236.79795
44, 2560, 474911.73597, 4978216.37028
44, 2561, 475010.802734, 4978104.01827
44, 2562, 475050.633788, 4978064.18509
44, 2563, 475076.16466, 4978049.88533
44, 2564, 475377.447252, 4978047.84269
44, 2565, 475375.406739, 4978062.14287
44, 2566, 475374.384143, 4978131.59604
44, 2567, 475371.319332, 4978148.95975
44, 2568, 475367.234052, 4978168.36611
44, 2569, 475346.808503, 4978230.66918
44, 2570, 475345.788459, 4978248.0329
44, 2571, 475348.851143, 4978268.46058
44, 2572, 475357.021277, 4978289.90957
44, 2573, 475367.234052, 4978300.12362
44, 2574, 475377.447252, 4978308.29461
44, 2575, 475395.832288, 4978318.50738
44, 2576, 475415.23524, 4978322.59352
44, 2577, 475481.619338, 4978315.44385
44, 2578, 475495.91952, 4978318.50738
44, 2579, 475507.152338, 4978324.63616
44, 2580, 475522.472564, 4978337.91502
44, 2581, 475528.600484, 4978350.17043
44, 2582, 475531.663167, 4978363.44887
44, 2583, 475527.577887, 4978404.30422
44, 2584, 475527.577887, 4978424.7319
44, 2585, 475533.705807, 4978458.43716
44, 2586, 475557.196167, 4978489.07846
44, 2587, 475586.814447, 4978517.6767
44, 2588, 475610.302679, 4978519.71891
44, 2589, 475636.85785, 4978517.6767
44, 2590, 475656.261228, 4978508.48397
44, 2591, 475663.411319, 4978503.37779
44, 2592, 475681.794228, 4978484.99233
44, 2593, 475769.626472, 4978355.27788
44, 2594, 475782.904057, 4978330.76493
44, 2595, 475792.094235, 4978307.27244
44, 2596, 475800.264795, 4978277.65331
44, 2597, 475798.222155, 4978259.26827
44, 2598, 475797.201686, 4978225.56301
44, 2599, 475805.372246, 4978205.13533
44, 2600, 475815.585021, 4978192.87864
44, 2601, 475824.775198, 4978186.7503
44, 2602, 475836.010569, 4978184.70766
44, 2603, 475856.436118, 4978185.72898
44, 2604, 475879.926478, 4978194.92128
44, 2605, 475898.309387, 4978209.22019
44, 2606, 475921.799747, 4978235.77663
44, 2607, 475935.075631, 4978256.20431
44, 2608, 475942.225296, 4978269.4819
44, 2609, 475950.395856, 4978290.93089
44, 2610, 475956.523351, 4978313.40121
44, 2611, 475988.183845, 4978425.75322
44, 2612, 475995.331808, 4978479.88616
44, 2613, 475996.354405, 4978559.55295
44, 2614, 475991.246954, 4978607.55839
44, 2615, 475986.141631, 4978627.98607
45, 2617, 476230.230302, 4978627.98607
45, 2618, 476231.252473, 4978625.94258
45, 2619, 476233.295113, 4978610.62235
45, 2620, 476231.252473, 4978592.23732
45, 2621, 476227.167193, 4978577.93841
45, 2622, 476218.997058, 4978561.59686
45, 2623, 476181.208644, 4978499.29251
45, 2624, 476126.059917, 4978414.51827
45, 2625, 476081.121412, 4978332.80757
45, 2626, 476063.758546, 4978292.97353
45, 2627, 476058.653223, 4978274.58935
45, 2628, 476051.503132, 4978226.58433
45, 2629, 476050.483088, 4978205.13533
45, 2630, 476052.525728, 4978186.7503
45, 2631, 476055.588412, 4978175.51492
45, 2632, 476059.673692, 4978166.32262
45, 2633, 476064.781143, 4978158.15121
45, 2634, 476069.888168, 4978151.00239
45, 2635, 476081.121412, 4978139.76702
45, 2636, 476101.546961, 4978128.53208
45, 2637, 476152.612961, 4978109.12572
45, 2638, 476184.273455, 4978092.78332
45, 2639, 476199.591978, 4978080.52663
45, 2640, 476212.869564, 4978068.27037
45, 2641, 476223.082338, 4978043.75784
45, 2642, 476230.230302, 4978021.28752
45, 2643, 476232.274644, 4978004.9447
45, 2644, 476231.252473, 4977987.58226
45, 2645, 476227.167193, 4977969.19722
45, 2646, 476206.741644, 4977918.12782
45, 2647, 476184.273455, 4977883.40123
45, 2648, 476174.060681, 4977859.90875
45, 2649, 476143.42023, 4977770.02791
45, 2650, 476140.357546, 4977762.87781
45, 2651, 476118.909826, 4977736.32264
45, 2652, 476059.673692, 4977670.95476
45, 2653, 476005.544583, 4977614.77918
45, 2654, 475992.269125, 4977603.54423
45, 2655, 475973.886216, 4977589.24405
45, 2656, 475956.523351, 4977579.03128
45, 2657, 475942.225296, 4977570.85902
